ingredient_name,time_stamp,product_title,price,unit,measure,unit_price,badage_rocket,url,image
* 새송이버섯,2024-08-01 20:05:39,"[KIRIN]친환경 뿌리손질 새송이버섯, 2개, 2kg",15560,100,g,389,,https://www.coupang.com/vp/products/8066169963?itemId=23520495262&vendorItemId=90546843326,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6152/275c4781167a7a828dcf89a33863d5625e02652cd786673568e699906c30.jpg
* 생강(마늘크기),2024-08-01 20:05:41,"곰곰 짜서쓰는 다진 생강, 300g, 1개",7970,10,g,266,로켓배송,https://www.coupang.com/vp/products/6036807341?itemId=11024361747&vendorItemId=78303952945,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1278105909869753-42850957-1f5a-44a7-be06-06b809bd0c39.jpg
* 설탕,2024-08-01 20:05:42,"큐원 갈색설탕 3키로 8입(한포대), 24kg, 21개",1824480,100,g,362,,https://www.coupang.com/vp/products/2146550469?itemId=22278857392&vendorItemId=89324468685,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/37d7/798730701afeeddb4aafb3cc098f45982fce1da1d2f71e13f3ac1c5de815.png
* 소고기 갈비살,2024-08-01 20:05:43,"미트지엥 호주산 곡물비육 갈비살 구이 400g (냉장), 1개",13520,100,g,3380,로켓배송,https://www.coupang.com/vp/products/6130949699?itemId=11691250017&vendorItemId=78965579532,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1765319492056721-0f06779f-6b4b-4f3f-ba6d-90fdfffee730.jpg
* 소금,2024-08-01 20:05:44,"식용 정제염 한주 본소금 대체상품 연수기 식기세척기 중국산 정제소금, 20kg, 1개",14500,100,g,73,,https://www.coupang.com/vp/products/7677694040?itemId=18784998287&vendorItemId=89569381364,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4d94/27af717f88732ca1cd815c09443b2fe28fc3a6ec1fbd6a5371544fdc220d.jpg
* 쇠고기 민찌,2024-08-01 20:05:45,"곰곰 한돈 뒷다리살 다짐육 (냉장), 1kg, 1팩",10420,100,g,1042,로켓배송,https://www.coupang.com/vp/products/1519590114?itemId=17234175547&vendorItemId=84405838949,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5909007083728532-558071c2-751a-4779-b722-8b0595c2444a.jpg
* 슬라이스 아몬드,2024-08-01 20:05:46,"넛츠피아 아몬드 슬라이스 1kg 123040, 1개",26700,10,g,267,,https://www.coupang.com/vp/products/8225809085?itemId=23656167710&vendorItemId=90681509236,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2dfc/34cc6a33f83a433772c4a51e83299f64c257fd66316f57ae65f94ab57776.jpg
* 식용유,2024-08-01 20:05:48,"오뚜기 콩기름, 1개, 18L",45940,100,ml,255,,https://www.coupang.com/vp/products/8024058971?itemId=17013740063&vendorItemId=89491301424,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/318b/fd7e47906e690db8477d230e4c5111ffba93f23065db3a910ea6c46ca354.png
* 양파,2024-08-01 20:05:49,"[국내산 양파] 햇양파 무안양파 5kg 10kg 20kg 신선도보장, 대중소 혼합 x 15kg, 1개",17900,100,g,119,,https://www.coupang.com/vp/products/8213772772?itemId=23585402188&vendorItemId=90611284556,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3bfc/e93a36fcaf645d34bec26c510217630c6075780fae51cc875147a501d9f8.jpg
* 연겨자,2024-08-01 20:05:50,"오뚜기 연겨자, 35g, 1개",1280,10,g,366,로켓배송,https://www.coupang.com/vp/products/7510801513?itemId=19679346153&vendorItemId=86784754030,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4174793916444603-0eff57ce-1f75-42c7-a440-fbb2118967b0.jpg
