ingredient_name,rank,time_stamp,product_title,origial_price,price,unit,measure,unit_price,gram_price,discount_rate,badage_rocket,review_count,url,image
고운고추가루,7,2024-07-29 16:16:23,"국산 고운 햇고춧가루 고추장용 떡볶이용 고추가루, 1kg, 1개",32900,28900,100,g,2890,28.9,12%,로켓배송,583,https://www.coupang.com/vp/products/7358228917?itemId=18951460293&vendorItemId=90557059377,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/a32e/d169924e59590139194c9d6935f1898b1155d0ac37b3aa4e3baa706cddb9.jpg
고운고추가루,8,2024-07-29 16:16:23,"[임가100% 국산 고춧가루 1kg 보통맛 (고운가루) 실속형 국내산 햇고추, 1개",36000,26800,100,g,2680,26.8,25%,로켓배송,81,https://www.coupang.com/vp/products/7790224665?itemId=21074504558&vendorItemId=88245132949,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/148e/a71cd70027aab929ae1d6b4ac78cc4263610697f9fb02494123213271993.jpg
고운고추가루,9,2024-07-29 16:16:23,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,130,https://www.coupang.com/vp/products/7510885925?itemId=19679658420&vendorItemId=86785060257,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고운고추가루,10,2024-07-29 16:16:23,"국내산 100% 프리미엄 고춧가루 정직한 대가야 맷돌 방식 고춧가루 500g 김치용 굵은입자, 1개",19900,16910,100,g,3382,33.82,15%,로켓배송,39,https://www.coupang.com/vp/products/7792299742?itemId=23542038877&vendorItemId=90783114071,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dfe2/f050c5dc9e0dc34e17ed7b0d8e014913e534f9b3d99234e297874a89fbc8.jpg
고운고춧가루,1,2024-07-29 16:16:24,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,1211,https://www.coupang.com/vp/products/7186018382?itemId=18133090219&vendorItemId=75251184855,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고운고춧가루,2,2024-07-29 16:16:24,"곰곰 국물용 국산 고운 고춧가루 보통 매운맛, 120g, 1개",8900,7090,100,g,5908,59.08,20%,로켓배송,901,https://www.coupang.com/vp/products/6997508373?itemId=17148017510&vendorItemId=84320754972,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5910308885890713-79f3c58a-2484-4148-8651-a4905d14d6f2.jpg
고운고춧가루,3,2024-07-29 16:16:24,"태양의 선물 태양초 맛있게 매운 고운 고춧가루 소스용 국물용, 1개, 1kg",63000,18900,100,g,1890,18.9,70%,,9,https://www.coupang.com/vp/products/8037293977?itemId=22491458767&vendorItemId=89533657154,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/32c5/e8954d0f3e85f3aa46abda5c449096c1ccee881ed34cdad8addc8df99cd9.jpg
고운고춧가루,4,2024-07-29 16:16:24,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,130,https://www.coupang.com/vp/products/7510885925?itemId=19679658420&vendorItemId=86785060257,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고운고춧가루,5,2024-07-29 16:16:24,"채운영농조합 국산 고춧가루 고운굵기 보통매운맛, 500g, 1개",22000,18000,100,g,3600,36.0,18%,로켓배송,53,https://www.coupang.com/vp/products/7851942695?itemId=21403793971&vendorItemId=88460379125,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1924204753260683-902c8b76-b89d-461f-be9e-776a9d3b8892.jpg
고운고춧가루,6,2024-07-29 16:16:24,"고추연구소 23년 햇 닥터페퍼 고운 고춧가루, 1kg, 1개",,25960,100,g,2596,25.96,,로켓배송,728,https://www.coupang.com/vp/products/7186020008?itemId=18133097139&vendorItemId=72532043173,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/194505439216212-c60cdf6d-0cc4-481e-a552-d1f322402e8b.jpg
